Sno,Name,Youtuber,Country,Subscribers,Category_2,Avg_views,Avg_likes,Avg_Comments,Category_3
61,Kimberly Loaiza,Kimberly Loaiza,Mexico,37500000.0,Daily vlogs,2000000.0,389700.0,4100.0,,
62,Shakira,shakira,United States,37500000.0,Music & Dance,2100000.0,0.0,2400.0,,
63,WorkpointOfficial,WorkpointOfficial,Thailand,37300000.0,Entertainment,10600.0,168.0,5.0,,
64,Daddy Yankee,DaddyYankeeOFFTV,Colombia,36900000.0,Music & Dance,0.0,0.0,0.0,,
65,Toys and Colors,Toys and Colors,,36900000.0,Movies,2700000.0,4500.0,0.0,Toys,
66,CarryMinati,AddictedA1,India,36700000.0,Movies,24700000.0,4400000.0,170900.0,Humor,
67,TEDx Talks,TEDxTalks,United States,36200000.0,Education,205.0,4.0,0.0,,
68,shfa2 - شفا,shfa2 - شفا,,36100000.0,Daily vlogs,326000.0,3200.0,0.0,,
69,shfa,shfa,France,36100000.0,Daily vlogs,3700000.0,52900.0,0.0,,
70,Jkk Entertainment,Jkk Entertainment,India,36000000.0,,3900000.0,32600.0,450.0,,
71,Masha and The Bear,Masha and The Bear,Russia,35700000.0,Animation,1800000.0,7600.0,0.0,Toys,
72,Super Simple Songs - Kids Songs,SuperSimpleSongs,Canada,35600000.0,Music & Dance,1800000.0,3800.0,0.0,,
73,Ozuna,Ozuna,United States,35300000.0,Music & Dance,27300000.0,116700.0,4100.0,,
74,Goldmines Gaane Sune Ansune,Goldmines Gaane Sune Ansune,India,34800000.0,Music & Dance,33100.0,271.0,14.0,,
75,one31,gmmonetv,Thailand,34600000.0,,6600.0,127.0,2.0,,
76,Mikecrack,Mikecrack,Mexico,34500000.0,Movies,2800000.0,334800.0,6100.0,Animation,
77,Like Nastya ESP,Like Nastya ESP,,34100000.0,,372400.0,1200.0,0.0,,
78,Maria Clara & JP,Maria Clara & JP,Brazil,33600000.0,Toys,5900000.0,40000.0,0.0,,
79,YouTube,YouTube,United States,33600000.0,,258800.0,0.0,0.0,,
80,Markiplier,markiplierGAME,United States,33600000.0,Animation,2600000.0,145900.0,5800.0,Video games,
81,VEGETTA777,vegetta777,Mexico,33600000.0,Video games,766500.0,57400.0,416.0,,
82,Total Gaming,Total Gaming,India,33500000.0,Video games,1200000.0,127400.0,6300.0,,
83,ARY Digital HD,ARY Digital HD,Pakistan,33500000.0,Entertainment,10400.0,121.0,6.0,,
84,ABP NEWS,abpnewstv,India,33500000.0,News & Politics,3500.0,43.0,4.0,,
85,Desi Music Factory,Desi Music Factory,India,33200000.000000004,Music & Dance,3200000.0,4400.0,2500.0,,
86,Ultra Bollywood,UltraHindi,India,33100000.0,,24900.0,217.0,9.0,,
87,Sony PAL,sonypalindia,India,33100000.0,Entertainment,9100.0,104.0,8.0,,
88,Geet MP3,Geet MP3,India,33100000.0,Music & Dance,341800.0,22800.0,1200.0,,
89,NoCopyrightSounds,NoCopyrightSounds,United States,32900000.0,Music & Dance,362500.0,15600.0,1200.0,,
90,Ryan's World,Ryan's World,,32900000.0,Animation,826900.0,4100.0,0.0,Toys,
91,HAR PAL GEO,harpalgeo,Pakistan,32800000.0,,5000.0,44.0,2.0,,
92,SSSniperWolf,SSSniperWolf,United States,32700000.000000004,Humor,3900000.0,107200.0,6900.0,,
93,T-Series Apna Punjab,tseriesapnapunjab,India,32600000.0,Music & Dance,30000.0,1600.0,31.0,,
94,IndiaTV,IndiaTV,India,32400000.0,News & Politics,8600.0,134.0,12.0,,
95,KHANDESHI MOVIES,KHANDESHI MOVIES,India,32300000.0,,4500000.0,36700.0,579.0,,
96,La Granja de Zenón,cancionesdelagranja,,31800000.0,Music & Dance,668200.0,2900.0,0.0,Animation,
97,GENIAL,GENIAL,Mexico,31500000.0,Animation,51500.0,1800.0,68.0,,
98,Eros Now Music,erosentertainment,India,31200000.0,,20500.0,552.0,22.0,,
99,Galinha Pintadinha,juptube,,31100000.0,Music & Dance,21700000.0,64900.00000000001,0.0,,
100,Bollywood Classics,tseriesoldisgold,India,31000000.0,Music & Dance,30700.0,547.0,28.0,,
101,Luis Fonsi,Luis Fonsi,United States,31000000.0,,34800.0,3100.0,69.0,,
102,SMTOWN,SMTOWN,United States,31000000.0,Music & Dance,326000.0,51400.0,1600.0,,
103,Selena Gomez,SelGomez,United States,30900000.0,,347900.0,38600.0,796.0,,
104,Mr Bean,MrBean,India,30800000.0,,191100.0,2700.0,80.0,,
105,Rajshri,rajshri,India,30600000.0,,18500.0,145.0,8.0,,
106,Ricis Official,Ricis Official,Indonesia,30600000.0,Music & Dance,621600.0,27300.0,789.0,Movies,
107,Trap Nation,AllTrapNation,United States,30400000.0,Music & Dance,74900.0,2600.0,96.0,,
108,DisneyMusicVEVO,DisneyMusicVEVO,United States,30300000.0,Music & Dance,295200.0,6100.0,393.0,Movies,
109,The Tonight Show Starring Jimmy Fallon,latenight,United States,30200000.0,Movies,166500.0,5600.0,171.0,Humor,
110,Saregama Music,SongsOfIndianCinema,India,30100000.0,Music & Dance,26600.0,967.0,11.0,,
111,AH,AH,Indonesia,30000000.0,Music & Dance,831500.0,37300.0,2600.0,Movies,
112,Spinnin' Records,SpinninRec,United States,29800000.0,Music & Dance,56000.0,2600.0,74.0,,
113,rezendeevil,rezendeevil,Brazil,29600000.0,Movies,293400.0,28500.0,742.0,Humor,
114,BabyBus - Kids Songs and Cartoons,BabyBus - Kids Songs and Cartoons,,29600000.0,Animation,792600.0,4500.0,0.0,Toys,
115,The Weeknd,xoxxxoooxo,United States,29500000.0,Music & Dance,652500.0,50100.0,2400.0,,
116,Jingle Toons,Jingle Toons,India,29100000.0,,82500.0,830.0,10.0,,
117,PowerKids TV,PowerKids,India,29100000.0,Movies,83500.0,0.0,0.0,Animation,
118,Worldwide Records Bhojpuri,WWRBhojpuri,India,29000000.0,Music & Dance,85500.0,2300.0,103.0,,
119,ImagineDragons,ImagineDragons,United States,28800000.0,Music & Dance,133500.0,13700.0,151.0,,
120,Vlad và Nikita,Vlad và Nikita,,28800000.0,Movies,3300000.0,24600.0,0.0,Humor,
121,MrBeast Gaming,MrBeast Gaming,United States,28800000.0,Animation,8800000.0,419900.0,16500.0,Video games,
122,Ultra Music,UltraRecords,United States,28800000.0,Music & Dance,22800.0,824.0,41.0,,
123,jacksepticeye,jacksepticeye,United States,28800000.0,Video games,2300000.0,125600.0,6200.0,,
124,Maluma,Maluma,Colombia,28800000.0,Music & Dance,45600.0,2600.0,202.0,,
125,Techno Gamerz,Techno Gamerz,India,28600000.0,,4000000.0,319500.0,15400.0,,
126,Peppa Pig - Official Channel,theofficialpeppa,,28500000.0,Toys,886300.0,4200.0,0.0,,
127,Wow Kidz,Wow Kidz,,28300000.0,Animation,57700.0,643.0,0.0,Humor,
128,قناة طيور الجنة | toyoraljanahtv,toyoraljanahtv,,28300000.0,Music & Dance,252300.0,0.0,0.0,,
129,DONA 도나,DONA 도나,United States,28200000.0,,0.0,0.0,0.0,,
130,Talking Tom,TalkingTomCat,United States,28100000.0,,769900.0,839.0,0.0,,
131,Little Angel: Nursery Rhymes & Kids Songs,Little Angel: Nursery Rhymes & Kids Songs,,28000000.0,Toys,1300000.0,7400.0,0.0,,
132,KAROL G,Karolgmusic,Colombia,28000000.0,Music & Dance,51800000.0,1700000.0,96200.0,,
133,The Late Late Show with James Corden,TheLateLateShow,United States,28000000.0,Animation,86700.0,2300.0,130.0,Humor,
134,GMANetwork,GMANETWORK,Philippines,27900000.0,,3200.0,78.0,2.0,,
135,MR. INDIAN HACKER,MR. INDIAN HACKER,India,27400000.0,,5600000.0,451900.0,18500.0,,
136,TheDonato,TheDonato,Mexico,27300000.0,,380600.0,34200.0,678.0,,
137,Zee News,zeenews,India,27200000.0,News & Politics,10800.0,202.0,14.0,,
138,infobells - Tamil,infobellstamil,,27200000.0,Education,375200.0,1800.0,0.0,,
139,Genevieve's Playhouse - Learning Videos for Kids,Genevieve's Playhouse - Learning Videos for Kids,,27100000.0,Toys,1300000.0,1200.0,0.0,,
140,Diana and Roma ESP,Diana and Roma ESP,,26700000.0,Animation,728900.0,3900.0,0.0,,
141,ToypuddingTV,toypudding,India,26600000.0,,5300.0,32.0,1.0,,
