Sno,Name,Youtuber,Country,Subscribers,Category_2,Avg_views,Avg_likes,Avg_Comments,Category_3
269,Deddy Corbuzier,corbuzierprediction,Indonesia,19500000.0,,4200000.0,70700.0,8100.0,,
270,Kinder Spielzeug Kanal,Kinder Spielzeug Kanal,,19400000.0,Animation,83400.0,852.0,0.0,Toys,
271,Troom Troom Es,Troom Troom Es,Mexico,19300000.0,,125700.0,2500.0,72.0,,
272,Infinite,Infinite,United States,19300000.0,Video games,776700.0,25300.0,2400.0,Humor,
273,Eva Bravo Play,Eva Bravo Play,,19300000.0,,523500.0,3400.0,0.0,,
274,Robin Hood Gamer,RobinHoodGamer1,Brazil,19300000.0,Animation,1000000.0,51400.0,784.0,Video games,
275,Kurzgesagt – In a Nutshell,Kurzgesagt,United States,19300000.0,Education,7000000.0,329700.0,24700.0,,
276,Fatos Desconhecidos,fatosdesconhecidos,Brazil,19200000.0,Science & Technology,194500.0,19000.0,683.0,,
277,Beast Reacts,Beast Reacts,United States,19100000.0,,12700000.0,389700.0,7100.0,,
278,Sun TV,Sun TV,India,19100000.0,,89400.0,1600.0,19.0,,
279,Crafty Panda,Crafty Panda,India,19100000.0,Music & Dance,81300.0,571.0,15.0,,
280,NBA,NBA,United States,19100000.0,Sports,58300.0,1700.0,119.0,,
281,DLS News,DLS News,India,19000000.0,News & Politics,61500.0,1700.0,104.0,,
282,Clash of Clans,OfficialClashOfClans,United States,18900000.0,Movies,299400.0,14000.0,394.0,Animation,
283,invictor,invictorgs3,Mexico,18900000.0,Animation,1300000.0,70200.0,982.0,Video games,
284,Netflix India,Netflix India,India,18900000.0,,131000.0,2800.0,105.0,,
285,Jimmy Kimmel Live,JimmyKimmelLive,United States,18900000.0,Movies,133100.0,3400.0,257.0,,
286,The ACE Family,The ACE Family,United States,18900000.0,Humor,702100.0,26000.0,2500.0,,
287,Green Gold TV - Official Channel,greengoldtv,,18800000.0,,922600.0,7400.0,0.0,,
288,Britain's Got Talent,BritainsGotTalent09,United Kingdom,18700000.0,Music & Dance,192200.0,1100.0,44.0,Movies,
289,TRT Originals Urdu,TRT Originals Urdu,Pakistan,18700000.0,,308200.0,13600.0,328.0,,
290,AS Gaming,AS Gaming,India,18700000.0,,370700.0,32700.000000000004,1100.0,,
291,TheWillyrex,TheWillyrex,Spain,18600000.0,,25400.0,1500.0,0.0,,
292,The Royalty Family,The Royalty Family,United States,18500000.0,Humor,3400000.0,90200.0,0.0,,
293,Vania Mania Kids,Vania Mania Kids,,18500000.0,Animation,368000.0,1700.0,0.0,Toys,
294,CookieSwirlC,CookieSwirlC,United States,18500000.0,Video games,238100.0,3300.0,535.0,,
295,Official Pink Panther,PinkPanther,,18400000.0,Movies,674900.0,4800.0,0.0,Animation,
296,Sonotek,sonotekvideo,India,18400000.0,Music & Dance,28600.0,655.0,58.0,Animation,
297,BabyBus - Cerita & Lagu Anak-anak,BabyBus - Cerita & Lagu Anak-anak,,18400000.0,Movies,626400.0,4500.0,0.0,Humor,
298,KBS WORLD TV,kbsworld,Indonesia,18400000.0,,5300.0,137.0,6.0,,
299,MiawAug,MiawAug,Indonesia,18400000.0,Video games,850700.0,35400.0,2100.0,,
300,CKN,CKN,,18300000.0,Video games,235300.0,1400.0,0.0,Toys,
301,HiMan,HiMan,Russia,18300000.0,Video games,1600000.0,76900.0,2400.0,,
302,ElTrollino,ElTrollino,Mexico,18300000.0,Animation,3500000.0,102600.0,2800.0,Video games,
303,Unbox Therapy,Unbox Therapy,United States,18300000.0,Science & Technology,1200000.0,28200.0,3300.0,,
304,Turma da Mônica,turmadamonicaTV,,18200000.0,,127300.0,1200.0,0.0,,
305,Diana and Roma EN,TheElenaYa,,18200000.0,Animation,701100.0,2800.0,0.0,Toys,
306,Heidi & Zidane बच्चों की कहानियाँ,Heidi & Zidane बच्चों की कहानियाँ,,18200000.0,Daily vlogs,165100.0,1300.0,0.0,,
307,Ninja Kidz TV,Ninja Kidz TV,United States,18200000.0,Video games,793900.0,18800.0,1300.0,,
308,INCRÍVEL,INCRÍVEL,,18200000.0,Animation,26100.0,1300.0,33.0,,
309,TheOdd1sOut,TheOdd1sOut,United States,18100000.0,Movies,1100000.0,44200.0,1600.0,Animation,
310,Dan-Sa / Daniel Saboya,DanielSaboya,Brazil,18100000.0,Music & Dance,40700.0,1300.0,48.0,Animation,
311,Emiway Bantai,Emiway Bantai,India,18100000.0,Music & Dance,1600000.0,208500.0,23600.0,,
312,GEN HALILINTAR,GEN HALILINTAR,Indonesia,18100000.0,Music & Dance,195700.0,10400.0,238.0,Humor,
313,Мирошка ТВ,Мирошка ТВ,United States,18100000.0,,15000.0,87.0,3.0,,
314,Vsauce,Vsauce,United States,18100000.0,Science & Technology,318900.0,17600.0,489.0,,
315,Farruko,farrukotv,United States,18100000.0,Music & Dance,641600.0,39600.0,1800.0,,
316,Kids Channel India - Hindi Rhymes and Baby Songs,Kids Channel India - Hindi Rhymes and Baby Songs,,18000000.0,Education,120200.0,1000.0,0.0,,
317,SCTV,SCTVIndonesia,Indonesia,17900000.0,Music & Dance,24200.0,410.0,23.0,Movies,
318,Village Cooking Channel,Village Cooking Channel,India,17900000.0,,4700000.0,262500.0,5500.0,,
319,Like Nastya Vlog,Like Nastya Vlog,,17900000.0,Daily vlogs,415900.0,1800.0,0.0,,
320,Good Mythical Morning,rhettandlink2,United States,17900000.0,Food & Drinks,1200000.0,34600.0,1400.0,,
321,Naisa Alifia Yuriza (N.A.Y),Naisa Alifia Yuriza (N.A.Y),Indonesia,17900000.0,Music & Dance,908300.0,35500.0,596.0,Movies,
322,Lil Pump,Lil Pump,United States,17900000.0,Music & Dance,1300000.0,77600.0,8100.0,,
323,Demi Lovato,therealdemilovato,United States,17800000.0,Music & Dance,53500.0,5300.0,136.0,,
324,Marmok,dj47maryn,Russia,17800000.0,Animation,3900000.0,377100.0,17600.0,Video games,
325,RsiamMusic : อาร์สยาม,rsiammusic,Thailand,17800000.0,Music & Dance,10100.0,274.0,9.0,,
326,Познаватель,ThePoznavatel,Russia,17700000.0,Toys,3100000.0,65600.0,2400.0,DIY & Life Hacks,
327,TheGrefg,TheGrefg,Spain,17700000.0,Animation,986100.0,74800.0,1300.0,Video games,
328,Ali-A,Matroix,United States,17700000.0,Video games,466400.0,13600.0,904.0,,
329,Little Angel Español - Canciones Infantiles,Little Angel Español - Canciones Infantiles,,17700000.0,Animation,425600.0,2600.0,0.0,,
330,Vlad and Niki IDN,Vlad and Niki IDN,,17700000.0,Music & Dance,605500.0,2500.0,0.0,Movies,
331,Mother Goose Club Playhouse,SockeyeMedia,,17700000.0,Music & Dance,62900.0,160.0,0.0,,
332,etvteluguindia,etvteluguindia,India,17600000.0,,18800.0,211.0,3.0,,
333,Khan GS Research Centre,Khan GS Research Centre,India,17600000.0,Education,7100000.0,540400.0,23200.0,,
334,Sebastián Yatra,SebastianYatra,Colombia,17600000.0,Music & Dance,84900.0,5300.0,389.0,,
335,TED-Ed,TEDEducation,United States,17500000.0,Science & Technology,202500.0,12300.0,358.0,,
336,officialpsy,officialpsy,United States,17500000.0,Music & Dance,3200000.0,258400.0,7400.0,,
337,Porta dos Fundos,portadosfundos,Brazil,17400000.0,Movies,738900.0,73600.0,725.0,Animation,
338,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,,17400000.0,Education,55600.0,210.0,0.0,,
339,Junya Official Channel,Junya Official Channel,Japan,17400000.0,,2100000.0,24100.0,132.0,,
340,RobleisIUTU,RobleisIUTU,Argentina,17400000.0,Movies,838800.0,57000.0,1900.0,Animation,
341,Maya and Mary,Maya and Mary,,17400000.0,Toys,1600.0,0.0,0.0,Education,
342,Rafa & Luiz,Rafa & Luiz,Brazil,17400000.0,Video games,587500.0,33000.0,703.0,,
343,Masha e o Urso,Masha e o Urso,,17400000.0,,489100.0,3600.0,0.0,,
344,Stubborn Facts,Stubborn Facts,India,17300000.0,,66700.0,3400.0,166.0,,
345,SQUEEZIE,aMOODIEsqueezie,France,17300000.0,,5300000.0,423000.0,7900.0,,
346,EeOneGuy,EeOneGuy,Russia,17300000.0,Music & Dance,204600.0,13200.0,5600.0,,
347,SUPER SLICK SLIME SAM,SUPER SLICK SLIME SAM,Mexico,17200000.0,,222200.0,6700.0,176.0,,
348,Willyrex,Willyrex,Mexico,17200000.0,Video games,151900.0,13200.0,66.0,,
349,Grammy Gold Official,grammygoldofficia,Thailand,17200000.0,Music & Dance,15000.0,312.0,9.0,,
350,DUDU e CAROL,DUDU e CAROL,Brazil,17200000.0,,3100000.0,188300.0,1100.0,,
351,شبكة العاب العرب | Arab Games Network,ArabGamesNetwork,Algeria,17200000.0,,307500.0,28200.0,1400.0,,
352,Sourav Joshi Vlogs,Sourav Joshi Vlogs,India,17000000.0,Daily vlogs,5800000.0,532300.0,13900.0,,
353,IGN,IGNentertainment,United States,17000000.0,,45700.0,1000.0,105.0,,
354,Jason Derulo,JasonDerulo,United States,17000000.0,Music & Dance,68100.0,4500.0,66.0,,
355,Guava Juice,aynakoitsroi,United States,17000000.0,,217400.0,6300.0,708.0,,
356,7clouds,monstafluffmusicTV,United States,16900000.0,Music & Dance,233600.0,5200.0,175.0,,
357,Jane ASMR 제인,Jane ASMR 제인,United States,16900000.0,Daily vlogs,290000.0,5600.0,285.0,,
358,Anitta,AnittaOficial,Brazil,16900000.0,Music & Dance,3200000.0,132500.0,9100.0,,
359,Doggy Doggy Cartoons,kidstvsongs,,16800000.0,,3100.0,50.0,0.0,,
360,Triggered Insaan,Triggered Insaan,India,16800000.0,Humor,5600000.0,521300.0,15700.0,,
361,SOMOY TV,SOMOY TV,Bangladesh,16800000.0,Daily vlogs,8300.0,185.0,13.0,,
362,Dhar Mann,Dhar Mann,United States,16800000.0,Health & Self Help,5800000.0,130700.0,6100.0,,
363,Dushyant kukreja,Dushyant kukreja,India,16700000.0,,3700000.0,245300.0,531.0,,
364,Manual do Mundo,iberethenorio,Brazil,16700000.0,Science & Technology,411500.0,53300.0,645.0,,
365,Shemaroo Comedy,indiancomedy,India,16700000.0,,98900.0,913.0,26.0,,
366,TheBrianMaps,TheBrianMaps,Russia,16600000.000000002,Video games,3100000.0,204300.0,11400.0,Humor,
367,Tu COSMOPOLIS,Tu COSMOPOLIS,Mexico,16600000.000000002,News & Politics,78600.0,6200.0,534.0,,
368,DeToxoMoroxo,jquintanac5,Mexico,16600000.000000002,Movies,571900.0,34600.0,9100.0,Animation,
369,Alejo Igoa,Alejo Igoa,Argentina,16600000.000000002,DIY & Life Hacks,6800000.0,293500.0,76700.0,,
370,Goldmines Great Indian Comedy,Goldmines Great Indian Comedy,India,16600000.000000002,,14100.0,180.0,9.0,,
371,zbing z.,zbingzbing,Thailand,16500000.0,Animation,390300.0,15600.0,541.0,Video games,
372,SonyMusicSouthVEVO,SonyMusicSouthVEVO,,16500000.0,Music & Dance,21000.0,577.0,21.0,,
373,tanboy kun,tanboy kun,Indonesia,16500000.0,Music & Dance,2000000.0,47500.0,2100.0,,
374,IDEAS EN 5 MINUTOS,IDEAS EN 5 MINUTOS,Mexico,16500000.0,,39800.0,335.0,8.0,,
375,Apple,Apple,,16399999.999999998,Music & Dance,2300000.0,27500.0,0.0,Animation,
376,Zuni and Family,Zuni and Family,,16399999.999999998,Daily vlogs,225500.0,1300.0,0.0,,
377,Prajapati News,Prajapati News,India,16399999.999999998,,24700.0,1300.0,64.0,,
378,Sandra Cires Art,Sandra Cires Art,Colombia,16399999.999999998,,412000.0,37400.0,537.0,,
379,Blippi - Educational Videos for Kids,Blippi - Educational Videos for Kids,,16399999.999999998,Education,1300000.0,4200.0,0.0,Toys,
380,Sidemen,Sidemen,United Kingdom,16399999.999999998,Video games,10200000.0,412200.0,10600.0,Humor,
381,ExtraPolinesios,ppextras,Mexico,16399999.999999998,Daily vlogs,131800.0,5600.0,157.0,,
382,Dan Rhodes,Dan Rhodes,India,16300000.0,Animation,1800000.0,119000.0,409.0,Toys,
383,RKD Studios,rkddigital,India,16300000.0,,171400.0,1900.0,56.0,,
384,Antrax,Antrax,Mexico,16300000.0,Video games,570500.0,41400.0,1500.0,,
385,The Game Theorists,MatthewPatrick13,United States,16200000.0,Science & Technology,2300000.0,123900.0,5900.0,,
386,Queen Official,queenofficial,United States,16200000.0,Music & Dance,0.0,0.0,0.0,Movies,
387,Fede Vigevani,Fede Vigevani,Mexico,16200000.0,,3500000.0,202700.0,10600.0,,
388,FailArmy,failarmy,United States,16200000.0,Animation,2600000.0,28600.0,2100.0,Humor,
389,El Reino a Jugar,El Reino a Jugar,,16200000.0,Education,400700.0,1800.0,0.0,Toys,
390,Katie Angel,Katie Angel,Mexico,16100000.000000002,,306100.0,25900.0,173.0,,
391,Les' Copaque Production,lescopaque,Indonesia,16100000.000000002,,74900.0,878.0,35.0,,
392,VICE,vice,United States,16100000.000000002,News & Politics,414400.0,5600.0,1300.0,,
393,Kaykai Salaider,Kaykai Salaider,Thailand,16100000.000000002,Movies,1100000.0,103600.0,4700.0,Humor,
394,Boyce Avenue,boyceavenue,Brazil,16000000.0,Music & Dance,314700.0,11500.0,450.0,,
395,Marques Brownlee,marquesbrownlee,United States,16000000.0,Science & Technology,2700000.0,127000.0,4300.0,,
396,Sony AATH,Sony AATH,Bangladesh,16000000.0,,59200.0,1000.0,40.0,,
397,YOLO AVENTURAS,YOLO AVENTURAS,Mexico,16000000.0,,1700000.0,140700.0,708.0,,
398,Zhong,Zhong,United States,16000000.0,,3400000.0,252500.0,1500.0,,
399,jeffreestar,jeffreestar,United States,16000000.0,Beauty,1200000.0,50000.0,5500.0,,
400,Aayu and Pihu Show,Aayu and Pihu Show,India,16000000.0,Movies,3100000.0,71300.0,4200.0,Humor,
401,DopeLyrics,DopeLyrics,United States,16000000.0,Music & Dance,10300.0,272.0,28.0,,
402,JJ Olatunji,KSIOlajidebtHD,United States,16000000.0,,3900000.0,286400.0,11900.0,,
403,Zappy Toons - Hindi Nursery Rhymes and Stories,Zappy Toons - Hindi Nursery Rhymes and Stories,,16000000.0,Education,317500.0,1500.0,0.0,,
404,Smile Family Spanish,Smile Family Spanish,,15900000.0,,440700.0,2500.0,0.0,,
405,Jason Vlogs,Jason Vlogs,,15900000.0,Animation,454300.0,2100.0,0.0,Toys,
406,AMARINTV : อมรินทร์ทีวี,AMARINTV : อมรินทร์ทีวี,Thailand,15900000.0,News & Politics,6400.0,93.0,7.0,,
407,Ivana Alawi,Ivana Alawi,Philippines,15800000.0,Daily vlogs,3700000.0,196800.0,11600.0,,
408,Matt Stonie,MegatoadStonie,United States,15800000.0,Food & Drinks,1200000.0,52300.0,2500.0,,
409,Pitbull,PitbullMusic,United States,15800000.0,Music & Dance,18500.0,1600.0,43.0,,
410,Caeli YT,CaELiKe,,15800000.0,,43400.0,1600.0,199.0,,
411,News24,News24page,India,15800000.0,News & Politics,5800.0,110.0,10.0,,
412,Pop Chartbusters,popchartbusters,India,15800000.0,Music & Dance,36900.0,10100.0,37.0,,
413,Rotten Tomatoes Trailers,movieclipsTRAILERS,United States,15800000.0,Movies,41900.0,659.0,71.0,Animation,
414,AdMe,AdMe,Russia,15800000.0,Animation,50500.0,1500.0,81.0,,
415,Gato Galactico | GALÁXIA,OGatoGalactico,Brazil,15600000.0,Animation,90400.0,4900.0,78.0,,
416,And TV,And TV,India,15600000.0,,8900.0,104.0,4.0,,
417,Roman Atwood Vlogs,RomanAtwoodVlogs,United States,15600000.0,Movies,311000.0,0.0,995.0,Humor,
418,Dyland PROS,Dyland PROS,Indonesia,15500000.0,Movies,33300.0,2100.0,98.0,Animation,
419,FitDance,portalfitdance,,15500000.0,Music & Dance,32900.0,1100.0,16.0,,
420,RCTI - LAYAR DRAMA INDONESIA,RCTI - LAYAR DRAMA INDONESIA,Indonesia,15400000.0,Music & Dance,20000.0,353.0,22.0,Movies,
421,Camilo,CamiloMusicaVideo,Colombia,15400000.0,Music & Dance,157000.0,9300.0,125.0,,
422,MrBeast Shorts,MrBeast Shorts,United States,15400000.0,Daily vlogs,15500000.0,1300000.0,4800.0,,
423,Like Nastya VNM,Like Nastya VNM,,15400000.0,,524800.0,0.0,0.0,,
424,SriBalajiMovies,SriBalajiMovies,India,15400000.0,,12900.0,85.0,2.0,,
425,LOKESH GAMER,LOKESH GAMER,India,15400000.0,,349200.0,40600.0,1500.0,,
426,T3ddy,T3DDYgames,Brazil,15300000.0,Daily vlogs,801500.0,79900.0,2200.0,,
427,Stokes Twins,alanalan9635,United States,15300000.0,Video games,11900000.0,404600.0,40200.0,Humor,
428,With Kids[위드키즈],With Kids[위드키즈],United States,15300000.0,,71100.0,0.0,0.0,,
429,Kerajinan 5-Menit,Kerajinan 5-Menit,Indonesia,15200000.0,Music & Dance,17000.0,147.0,6.0,,
430,Like Nastya IDN,Like Nastya IDN,,15200000.0,Music & Dance,150600.0,0.0,0.0,Movies,
431,Oyuncak Avı,Oyuncak Avı,,15200000.0,,284800.0,0.0,15.0,,
432,Dangal TV Channel,Dangal TV Channel,India,15200000.0,,63800.0,956.0,6.0,,
433,5-Minute Crafts FAMILY,5-Minute Crafts FAMILY,United States,15200000.0,,16100.000000000002,175.0,9.0,,
434,SAM SMITH,SAM SMITH,United States,15200000.0,,29900.0,2000.0,61.0,,
435,Ch7HD,bbtvch7,Thailand,15200000.0,,7100.0,135.0,2.0,,
436,TheRichest,TheRichest,United States,15200000.0,News & Politics,22200.0,644.0,81.0,,
437,POPS Kids,popskids,Indonesia,15200000.0,Animation,4100.0,53.0,0.0,,
438,حِرف إبداعية في 5 دقائق,حِرف إبداعية في 5 دقائق,Egypt,15100000.0,,35800.0,344.0,16.0,,
439,Lahari Music | T-Series,laharimusic,India,15100000.0,Music & Dance,30600.0,1300.0,23.0,,
440,LEGO,LEGO,United States,15100000.0,Animation,54800.0,666.0,0.0,,
441,НТВ,ntvru,Russia,15000000.0,News & Politics,82300.0,901.0,216.0,,
442,Henrique e Juliano,hejproducao,Brazil,15000000.0,Music & Dance,71800.0,3700.0,152.0,,
443,Mariale,Mariale,Mexico,15000000.0,,154700.0,7000.0,285.0,,
444,Talking Tom & Friends,TalkingFriends,United States,15000000.0,Animation,220600.0,2300.0,0.0,Humor,
445,Makiman131,Makiman131,Spain,15000000.0,Movies,279500.0,15600.0,604.0,Animation,
446,Ranz Kyle,ranziscool,Philippines,15000000.0,Humor,786300.0,27400.0,881.0,,
447,Volga Video,newvolgavideo,India,15000000.0,,5300.0,43.0,2.0,,
448,Harsh Beniwal,Harsh Beniwal,India,15000000.0,Movies,13800000.0,1200000.0,31600.0,Humor,
449,NichLmao,NichLmao,United States,15000000.0,Daily vlogs,4700000.0,361200.0,2000.0,,
450,Super Senya,Super Senya,,15000000.0,Animation,37200.0,167.0,0.0,Toys,
451,LIV Crime,LIV Crime,India,15000000.0,Daily vlogs,95500.0,1100.0,35.0,,
452,Niana Guerrero,Niana Guerrero,Philippines,15000000.0,Music & Dance,1000000.0,31500.0,1100.0,Humor,
453,Wow Kidz Action,Wow Kidz Action,,15000000.0,,1300000.0,9100.0,0.0,,
454,League of Legends,RiotGamesInc,United States,15000000.0,Movies,515800.0,33500.0,1100.0,Animation,
455,GMMTV OFFICIAL​​,GMMTVSPOTLIKE,Thailand,15000000.0,Music & Dance,24900.0,544.0,14.0,Movies,
456,Kwebbelkop,kwebbelkop,United States,15000000.0,Animation,100200.0,3000.0,284.0,Video games,
457,La Rosa de Guadalupe,La Rosa de Guadalupe,Mexico,14900000.0,,90800.0,865.0,19.0,,
458,NDTV India,ndtvindia,India,14900000.0,News & Politics,12700.0,305.0,33.0,,
459,BBC News Hindi,bbchindi,India,14900000.0,News & Politics,167300.0,0.0,311.0,,
460,MK MUSIC,mkmusicnews,Brazil,14900000.0,Music & Dance,20400.0,1900.0,33.0,,
461,Dave and Ava - Nursery Rhymes and Baby Songs,Dave and Ava - Nursery Rhymes and Baby Songs,,14900000.0,Education,212000.0,906.0,0.0,,
462,Linus Tech Tips,LinusTechTips,United States,14900000.0,Science & Technology,1500000.0,66600.0,3000.0,,
463,Lachlan,Lachlan,United States,14900000.0,Video games,420100.0,19900.0,612.0,,
464,Plim Plim - Kids Songs & Episodes - Spanish,elcanaldePlimPlim,,14800000.0,Music & Dance,735100.0,5500.0,0.0,,
465,Daniel LaBelle,Daniel LaBelle,United States,14800000.0,,23100000.0,459400.0,2900.0,,
466,Zé Neto e Cristiano,zncoficial,Brazil,14800000.0,,29500.0,3200.0,39.0,,
467,iTownGamePlay *Terror&Diversión*,iTownGamePlay,Mexico,14800000.0,News & Politics,134500.0,5200.0,291.0,,
468,les boys tv2,les boys tv2,France,14800000.0,Sports,7400.0,0.0,0.0,,
469,NMF News,narendramodionline,India,14700000.0,News & Politics,12600.0,299.0,35.0,,
470,Planeta das Gêmeas,Planeta das Gêmeas,,14700000.0,Toys,432200.0,17900.0,57.0,,
471,News18 India,News18 India,India,14700000.0,News & Politics,2700.0,46.0,2.0,,
472,TWICE,TWICE,Philippines,14700000.0,Music & Dance,565900.0,61600.0,500.0,Movies,
473,IDEIAS INCRÍVEIS,IDEIAS INCRÍVEIS,Brazil,14700000.0,,13600.0,257.0,6.0,,
474,LEGENDA FUNK,LEGENDA FUNK,Brazil,14700000.0,Music & Dance,6700.0,268.0,9.0,Animation,
475,Thairath Online,thairathonline,Thailand,14700000.0,News & Politics,16900.0,233.0,23.0,,
476,Jorge & Mateus Oficial,jemproducoes,Brazil,14600000.0,Music & Dance,1100000.0,12800.0,250.0,,
477,MattyBRaps,MattyBRaps,United States,14600000.0,Music & Dance,3500000.0,15200.0,0.0,Movies,
478,T-Series Bollywood Classics,BollywoodClassics,India,14600000.0,Music & Dance,40500.0,305.0,11.0,,
479,حقائق وأسرار,حقائق وأسرار,Egypt,14600000.0,,0.0,0.0,0.0,,
480,Team Films Bhojpuri,TeamFilmsBhojpuri,India,14600000.0,Music & Dance,17600.0,442.0,48.0,Movies,
481,Daftar Populer,Daftar Populer,Indonesia,14600000.0,News & Politics,99000.0,1900.0,199.0,,
482,Major Lazer Official,majorlazer,United States,14600000.0,Music & Dance,28700.0,1500.0,95.0,Movies,
483,Drawblogs,Drawblogs,Mexico,14600000.0,Movies,19100.0,858.0,58.0,Animation,
484,Maha Fun Tv,Maha Fun Tv,India,14600000.0,,68200.0,1700.0,145.0,,
485,CollegeHumor,collegehumor,United States,14600000.0,Movies,146000.0,7400.0,817.0,Humor,
486,Fueled By Ramen,FueledByRamen,United States,14600000.0,,36900.0,2000.0,114.0,,
487,Canal Nostalgia,Canal Nostalgia,,14600000.0,Science & Technology,209800.0,41500.0,286.0,,
488,Johny FamilyShow,Johny FamilyShow,,14500000.0,Music & Dance,88400.0,303.0,0.0,Toys,
489,XpressTV,XpressTV,Mexico,14500000.0,Science & Technology,1400000.0,48500.0,556.0,,
490,Arif muhammad,Arif muhammad,Indonesia,14500000.0,Music & Dance,2900000.0,77600.0,3200.0,Movies,
491,Mobile Legends: Bang Bang Official,Mobile Legends: Bang Bang Official,Indonesia,14500000.0,Movies,420700.0,3100.0,26.0,Animation,
492,Zach King,Zach King,United States,14500000.0,Movies,633700.0,0.0,899.0,Humor,
493,Fun For Kids TV - Hindi Rhymes,Fun For Kids TV - Hindi Rhymes,,14500000.0,,522300.0,2900.0,0.0,,
494,Busy Fun Ltd,Busy Fun Ltd,India,14500000.0,,9000000.0,35500.0,584.0,,
495,Boram Tube ToysReview [보람튜브 토이리뷰],Boram Tube ToysReview [보람튜브 토이리뷰],,14500000.0,Daily vlogs,28100.0,273.0,0.0,,
496,Super Polina,Super Polina,Russia,14500000.0,,8900.0,61.0,0.0,,
497,Martin Garrix,MartinGarrix,United States,14400000.0,Music & Dance,54000.0,5100.0,103.0,,
498,The Slow Mo Guys,theslowmoguys,United States,14400000.0,,946900.0,62900.0,2800.0,,
499,It's Mamix,It's Mamix,Russia,14400000.0,DIY & Life Hacks,2900000.0,0.0,5200.0,,
500,Chad Wild Clay,chadwildclay,United States,14400000.0,Movies,2200000.0,38200.0,6500.0,Humor,
501,Gyan Gamingㅤ,Gyan Gamingㅤ,India,14400000.0,,371800.0,38600.0,863.0,,
502,Unspeakable,Unspeakable,United States,14400000.0,Video games,3300000.0,62700.0,7200.0,Humor,
503,Totoy kids - Español,Totoy kids - Español,,14400000.0,Toys,731300.0,3400.0,0.0,,
504,PlayStation,PlayStation,United States,14400000.0,,43800.0,1400.0,158.0,,
505,Genierock,Genierock,Thailand,14400000.0,Music & Dance,100700.0,988.0,64.0,,
506,CoryxKenshin,CoryxKenshin,United States,14400000.0,Video games,7500000.0,528300.0,34100.0,Humor,
507,Aphmau,ChallengeAcceptedInc,United States,14300000.0,Animation,2500000.0,59800.0,4400.0,Video games,
508,ABS-CBN News,TheABSCBNNews,Philippines,14300000.0,News & Politics,5400.0,50.0,4.0,,
509,Mohamed Ramadan I محمد رمضان,MRamadanOfficial,Egypt,14200000.0,Music & Dance,2400000.0,59400.0,4100.0,,
510,Zach Choi ASMR,Zach Choi ASMR,United States,14200000.0,Daily vlogs,166700.0,11000.0,114.0,,
511,Camila Loures,camilaloures,Brazil,14200000.0,Movies,239900.0,18800.0,325.0,Humor,
512,Anasala I أنس و أصالة,Anasala I أنس و أصالة,Egypt,14200000.0,,2700000.0,194200.0,7700.0,,
513,CNN,CNN,United States,14200000.0,Music & Dance,323200.0,4700.0,4200.0,Animation,
514,Gulshan Kalra,Gulshan Kalra,India,14200000.0,,8900000.0,477600.0,561.0,,
515,Taarak Mehta Ka Ooltah Chashmah,Taarak Mehta Ka Ooltah Chashmah,India,14200000.0,,348000.0,5700.0,88.0,,
516,UFC - Ultimate Fighting Championship,UFC,United States,14200000.0,Sports,135800.0,3000.0,301.0,,
517,Trap City,OfficialTrapCity,United States,14200000.0,Music & Dance,35500.0,1800.0,76.0,,
518,O Canal do Joãozinho - Little Angel Português,O Canal do Joãozinho - Little Angel Português,,14200000.0,Animation,764100.0,3500.0,0.0,,
519,Daily Dose Of Internet,Daily Dose Of Internet,United States,14100000.0,Animals & Pets,5100000.0,249500.0,9800.0,,
520,#Refugio Mental,#Refugio Mental,Argentina,14100000.0,Movies,566800.0,6600.0,80.0,,
521,A2 Motivation by {Arvind Arora},A2 Motivation by {Arvind Arora},India,14100000.0,,342100.0,47100.0,208.0,,
522,EdisonPts,EdisonPts,Russia,14100000.0,Video games,2000000.0,144900.0,6900.0,,
523,Трум Трум,Трум Трум,,14100000.0,Humor,237200.0,2900.0,104.0,Toys,
524,DM - Desi Melodies,DM - Desi Melodies,India,14000000.0,Music & Dance,15400000.0,321100.0,18600.0,,
525,Saad Lamjarred | سعد لمجرد,SaadLamjarredTV,Morocco,14000000.0,Music & Dance,2000000.0,74700.0,8400.0,,
526,F2Freestylers - Ultimate Soccer Skills Channel,F2Freestylers,United Kingdom,14000000.0,Sports,957600.0,0.0,328.0,,
527,Blippi Español,Blippi Español,,14000000.0,Toys,485600.0,1700.0,0.0,Education,
528,Doc Tops,Doc Tops,Mexico,14000000.0,Animation,1300000.0,58600.0,805.0,,
529,AM3NlC,AM3NlC,Brazil,14000000.0,Food & Drinks,190600.0,19900.0,276.0,,
530,FC Barcelona,fcbarcelona,United States,14000000.0,Sports,224700.0,14000.0,262.0,,
531,Мастерская Настроения,MasterskayaNastroeny,Russia,14000000.0,Movies,408900.0,10400.0,209.0,Video games,
532,Bie The Ska,bomberball,Thailand,14000000.0,,384500.0,12200.0,265.0,,
533,Auron,Auron,Mexico,14000000.0,Video games,2000000.0,112600.0,1800.0,,
534,NikkieTutorials,NikkieTutorials,United States,14000000.0,Design/art,1700000.0,165300.0,752.0,Beauty,
